category,datetime,headline,id,image,related,source,summary,url
top news,1741876740,This hedge-fund-style ETF is aimed at investors looking to diversify in volatile markets. Here’s what to look for.,7461672,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"Markets have been volatile this year, with some investors turning to alternative strategies for diversification as those increasingly become available to the masses.",https://www.marketwatch.com/story/this-hedge-fund-style-etf-is-aimed-at-investors-looking-to-diversify-in-volatile-markets-heres-what-to-look-for-c7ecd192
top news,1741876020,The alcohol trade war has broken out and is coming for your glass of wine,7461673,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"President Donald Trump on Thursday threatened 200% tariffs on alcoholic products from the European Union, saying the import taxes would come “shortly” unless the E.U. backs down from its plan to hit American whiskey with a 50% levy on April 1.",https://www.marketwatch.com/story/the-alcohol-trade-war-has-broken-out-and-is-coming-for-your-glass-of-wine-6e16881b
top news,1741875660,This five-star all-weather ETF can lower your exposure to risky stocks and bonds,7461665,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,The Harbor Commodity All-Weather Strategy ETF has matched the S&P 500’s performance since the fund was launched in February 2022 — but it has been a much smoother ride.,https://www.marketwatch.com/story/this-five-star-all-weather-etf-can-lower-your-exposure-to-risky-stocks-and-bonds-f79c0d49
top news,1741875540,Stifel ordered to pay $132 million for allegedly misleading investor on risky structured notes,7461666,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,A Finra panel said Stifel was “required to have heightened supervision” of a broker.,https://www.marketwatch.com/story/stifel-ordered-to-pay-132-million-for-allegedly-misleading-investor-on-risky-structured-notes-5753cc03
top news,1741875190,Here are our top and bottom 3 stocks since Trump tariff concerns shook the market,7461669,https://image.cnbcfm.com/api/v1/image/102290204-RTR4IYV1.jpg?v=1529451543&w=1920&h=1080,,CNBC,The tech-heavy Nasdaq Composite notched its worst day since 2022 on a string of disorienting trade policy moves.,https://www.cnbc.com/2025/03/13/our-top-3-performing-and-lagging-stocks-amid-trump-tariff-concerns-.html
top news,1741873896,U.S. 10-year Treasury yield is little changed as investors digest latest inflation report,7461674,https://image.cnbcfm.com/api/v1/image/108103816-1739905815035-JP3_8907.jpg?v=1739905998&w=1920&h=1080,,CNBC,U.S. Treasury yields were little changed on Thursday as investors awaited the producer price index report and weighed the state of the U.S. economy.,https://www.cnbc.com/2025/03/13/us-treasury-yields-investors-await-ppi-report-.html
business,1741873398,Dollar General CEO warns consumers 'only have enough money for basic essentials',7461640,https://image.cnbcfm.com/api/v1/image/108027957-1725045340903-gettyimages-2169486653-dsc_0697_di1hjui3.jpeg?v=1741711511&w=1920&h=1080,,CNBC,"Tariffs and potential changes to government entitlement programs present potential further headwinds for core customers, said CEO Todd Vasos.",https://www.cnbc.com/2025/03/13/dollar-general-ceo-consumer-warning.html
top news,1741872420,We're buying more shares of our newest stock that has a catalyst on the way,7461639,https://image.cnbcfm.com/api/v1/image/108114908-1741796881772-Traders-Photo-KK-Photo-PRESS-20250312-001.jpg?v=1741809032&w=1920&h=1080,,CNBC,We're putting some money to work Thursday into a market that has moved deeper into oversold territory.,https://www.cnbc.com/2025/03/13/were-buying-more-shares-of-our-newest-stock-that-has-a-catalyst-on-the-way.html
top news,1741871160,"Jobless claims little changed, while impact from government spending cuts expected later this spring",7461592,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"Initial jobless claims fell by 2,000 to 220,000 in the week that ended on March 8, the Labor Department said Thursday.",https://www.marketwatch.com/story/jobless-claims-inch-down-to-220-000-in-latest-week-a446a7b6
top news,1741870872,Jim Cramer's top 10 things to watch in the stock market Thursday,7461594,https://image.cnbcfm.com/api/v1/image/108114506-1741754954849-gettyimages-2202741435-AFP_36Z79YL.jpeg?v=1741870851&w=1920&h=1080,,CNBC,U.S. stocks were looking at a lower open following Trump's tariff news but cooler inflation reading.,https://www.cnbc.com/2025/03/13/jim-cramers-top-10-things-to-watch-in-the-stock-market-thursday.html
